bluegrass,https://open.spotify.com/playlist/5B2y2qJaAz5HoD7xuxYEBt?si=fbeb885f90174109
country-rock,https://open.spotify.com/playlist/1z1l9U2vTnXzB4vFqrFgx1?si=bd8077c08d7a476a
outlaw-country,https://open.spotify.com/playlist/5tvqZYHiDRWTj1LWA1yKME?si=be84ddfb34c84cad
country-pop,https://open.spotify.com/playlist/4h5U7sx2u7ZQRXkmMF3g0d?si=c5951a3c6fc64f05
honky-tonk,https://open.spotify.com/playlist/12iKE4IR1RRtk6G3AixH18?si=aaf45d524421426a
western-swing,https://open.spotify.com/playlist/08mN2ijmB06QvwlhtsqXzM?si=6e264a8672c749fe
alternative-country,https://open.spotify.com/playlist/4oQvSszDhNBwKcyeCvpzee?si=7e13d29cb2da4571
nashville-sound,https://open.spotify.com/playlist/4AtNTpvlCxZG3GaDBAXok5?si=01a92b4cd6a64bb0
americana,https://open.spotify.com/playlist/27W1eCqvuqfuPv1AQqEYYV?si=790611be541946e1
red-dirt,https://open.spotify.com/playlist/5Bmdve1ouFbInMwJKrg3yy?si=6991249aec8e4aa8
western-music,https://open.spotify.com/playlist/44wI6zcuSRnjF1WKjYDAZw?si=057e5f8758824e7d
cowpunk,https://open.spotify.com/playlist/7wzF9go9zmWpoahnD74bIg?si=da7ec6c37269499e
neotraditional-country,https://open.spotify.com/playlist/5m1QS7Vx1MQQx6WdZv8fV3?si=0bb0d55461944f0e
appalachian-music,https://open.spotify.com/playlist/68ArbxeqqZ4EnJ0Z8Siasg?si=1b7e5d507ebc4f49
bro-country,https://open.spotify.com/playlist/3eecc3gEku6Jo9frt4u5h1?si=47962943f0134c82
texas-country,https://open.spotify.com/playlist/26hoke4LW8EYngWczVsSXG?si=dc7f941c19f74dbc
roots-rock,https://open.spotify.com/playlist/2CJLJvmXZj7Sd0rBm7ZWa6?si=1dd4b4e474284724
progressive-country,https://open.spotify.com/playlist/086zwDAFE5UJBJxNbVAqRJ?si=f11d160fd9634b84
truck-driving-country,https://open.spotify.com/playlist/04kgDNaaq0Y672cCoMs1iy?si=1a6014b6d278483a
